Sample Time,xECG,ivECG,Error,Error Description,User State,User CM Marker,xECG_filtered,ivECG_filtered
1.704,9.576624,-68.163648,NA,NA,,NA,0.003171,-0.014688
1.708,9.630672,-68.123328,NA,NA,,NA,0.029791,0.012369
1.712,9.693360,-67.720752,NA,NA,,NA,0.057990,0.044238
1.716,9.694176,-67.652016,NA,NA,,NA,0.087281,0.077832
1.72,9.646416,-68.045088,NA,NA,,NA,0.116846,0.114870
1.724,9.705696,-68.102112,NA,NA,,NA,0.145795,0.151363
1.728,9.787200,-67.709712,NA,NA,,NA,0.176123,0.196326
1.732,9.776832,-67.563168,NA,NA,,NA,0.202415,0.218733
1.736,9.742896,-67.907904,NA,NA,,NA,0.227132,0.249341
1.74,9.795168,-68.055936,NA,NA,,NA,0.249059,0.283058
1.744,9.836928,-67.726848,NA,NA,,NA,0.265957,0.304419
1.748,9.857424,-67.473216,NA,NA,,NA,0.275306,0.315337
1.752,9.826848,-67.770480,NA,NA,,NA,0.275457,0.324123
1.756,9.822240,-68.043168,NA,NA,,NA,0.266325,0.320288
1.76,9.873312,-67.780224,NA,NA,,NA,0.249123,0.293810
1.764,9.883440,-67.456944,NA,NA,,NA,0.225393,0.260293
1.768,9.806160,-67.730736,NA,NA,,NA,0.196234,0.234289
1.772,9.766176,-68.116224,NA,NA,,NA,0.162469,0.202138
1.776,9.754560,-67.978800,NA,NA,,NA,0.125434,0.151574
1.78,9.744192,-67.643088,NA,NA,,NA,0.087327,0.099962
1.784,9.624960,-67.877712,NA,NA,,NA,0.050554,0.066409
1.788,9.530256,-68.340720,NA,NA,,NA,0.016735,0.044448
1.792,9.565056,-68.229072,NA,NA,,NA,-0.013627,0.022103
1.796,9.597552,-67.835472,NA,NA,,NA,-0.040648,0.000568
1.8,9.503712,-67.969008,NA,NA,,NA,-0.064196,-0.019219
1.804,9.421920,-68.428848,NA,NA,,NA,-0.083406,-0.041390
